,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,A Indx,density,pH,sulphates,Vit Indx,quality,Type
1272,6.5,0.24,0.29,very_high,0.043,32,156,14.75196166,0.99453,3.13,medium,low,high,Lemon_Juice
1273,6,0.35,0.51,very_low,0.029,10,102,14.65083047,0.9903,3.46,low,medium,high,Lemon_Juice
1274,7.3,0.24,0.29,very_low,0.037,,97,15.94466367,0.9926,3.19,,low,high,Lemon_Juice
1275,10,0.32,0.59,low,0.077,3,15,22.69125651,0.9994,3.2,medium,low,low,Orange_Juice
1276,6.9,0.51,0.23,very_low,0.072,13,22,15.03381366,0.99438,3.4,medium,medium,high,Orange_Juice
1277,,0.21,0.41,low,0.05,24,108,18.27370828,0.994,,low,low,,Lemon_Juice
1278,8,0.55,0.17,very_high,0.04,13,60,17.17912608,0.9956,3.09,low,low,low,Lemon_Juice
1279,6.8,0.3,0.26,very_high,0.037,45,150,15.19832429,0.99727,3.04,low,high,high,Lemon_Juice
1280,6.8,0.17,0.34,very_low,0.04,38,111,15.63576154,0.99,3.24,low,high,high,Lemon_Juice
1281,7.4,0.22,0.33,very_low,0.045,31,101,16.15426054,0.9931,3.42,medium,medium,low,Lemon_Juice
1282,6.6,0.25,0.36,very_high,0.045,54,180,15.11151337,0.9958,3.08,low,very_low,low,Lemon_Juice
1283,6.4,0.21,0.28,medium,0.047,29,101,13.95360383,0.99278,3.15,,medium,high,Lemon_Juice
1284,6.9,0.38,0.29,very_high,0.048,52,189,15.51891715,0.99784,3,medium,low,high,Lemon_Juice
1285,5,1.04,0.24,very_low,0.05,32,96,11.82703959,0.9934,3.74,medium,medium,low,Orange_Juice
1286,8.8,0.66,0.26,very_low,0.074,4,23,19.45722999,0.9971,3.15,medium,very_low,low,Orange_Juice
1287,6.3,0.4,0.32,very_high,0.049,38,209,14.20107614,0.9981,3.47,medium,very_low,high,
1288,5.6,0.35,0.14,medium,0.046,48,198,12.1972057,0.9937,3.3,medium,,low,Lemon_Juice
1289,7.4,,0.24,medium,0.042,28,123,16.00448481,,3.14,low,medium,low,Lemon_Juice
1290,8.9,0.12,0.45,very_low,0.075,,21,19.81004141,0.99552,3.41,medium,medium,,Orange_Juice
1291,7.2,,0.41,very_low,0.048,41,97,16.56870358,0.9919,3.14,low,low,low,Lemon_Juice
1292,5.4,0.375,0.4,low,0.054,29,147,12.33654498,0.99482,3.42,medium,very_low,low,Lemon_Juice
1293,6,0.29,0.21,very_low,0.055,,168,13.83965979,0.9914,3.32,low,medium,high,Lemon_Juice
1294,6.2,0.12,0.34,very_low,0.045,43,117,,0.9939,3.42,medium,,high,Lemon_Juice
1295,5.7,0.21,0.32,very_low,0.038,38,121,13.08883495,0.99074,3.24,low,low,high,Lemon_Juice
1296,6.4,0.33,,low,0.04,24,81,14.54631391,0.9903,3.26,medium,high,high,Lemon_Juice
1297,6.9,0.15,0.29,low,0.033,14,82,15.25456652,0.99132,3.1,medium,medium,high,Lemon_Juice
1298,6.8,0.6,0.18,very_low,0.079,18,86,14.84873448,0.9968,3.59,medium,very_low,high,Orange_Juice
1299,6.1,0.19,0.25,low,0.023,23,112,12.85604791,0.9923,3.37,medium,medium,high,Lemon_Juice
1300,7.9,0.29,0.31,high,0.034,37,154,17.61797626,0.9938,3.06,,medium,low,Lemon_Juice
1301,6.8,0.32,0.3,very_low,0.049,22,113,15.37868153,0.99289,3.24,medium,low,low,Lemon_Juice
1302,7.1,0.26,0.34,very_high,0.067,35,189,15.61764973,0.9986,3.07,medium,very_low,high,Lemon_Juice
1303,6.7,0.15,0.38,very_low,0.037,20,84,14.56054983,,,,medium,high,Lemon_Juice
1304,6.6,0.25,0.3,very_high,0.052,40,183,13.92808614,0.998,3.02,low,very_low,high,Lemon_Juice
1305,9.9,,0.41,low,0.083,11,61,22.15760827,0.9982,3.21,low,,low,Orange_Juice
1306,7.3,0.26,0.3,very_high,0.05,35,154,16.08601103,0.99581,3.21,low,low,high,Lemon_Juice
1307,6.8,0.11,0.27,very_high,0.044,45,104,15.08445445,0.99454,3.2,low,,high,Lemon_Juice
1308,6.7,0.28,0.34,very_high,0.048,32,111,15.17785944,0.99455,,,medium,high,Lemon_Juice
1309,7.4,0.41,0.24,very_low,0.066,18,47,16.5011192,0.9956,3.37,medium,low,low,Orange_Juice
1310,6.8,0.28,0.36,high,0.043,60,207,15.25243874,0.99556,3.16,low,,high,Lemon_Juice
1311,7.1,0.18,0.39,very_high,0.051,48,156,15.97733366,0.99947,3.35,medium,very_low,low,Lemon_Juice
1312,6.6,0.26,0.56,very_high,0.053,32,141,15.29700011,,3.11,low,very_low,low,Lemon_Juice
1313,6.7,0.26,0.39,high,,64,200,15.21580254,0.99562,3.19,low,low,high,Lemon_Juice
1314,6.9,0.37,0.28,very_high,0.031,34,137,15.59152,0.9948,,low,medium,high,Lemon_Juice
1315,7.7,0.4,0.27,medium,0.034,27,,17.02892233,0.99175,3.21,medium,,high,Lemon_Juice
1316,8.2,0.29,0.49,very_low,0.044,29,118,18.28881172,0.9928,3.24,low,medium,low,Lemon_Juice
1317,8.3,0.26,0.31,very_low,0.029,14,141,18.61375702,0.99077,2.95,medium,high,high,Lemon_Juice
1318,7.6,0.51,0.15,low,0.11,33,73,16.1577223,0.9955,3.17,medium,low,high,Orange_Juice
1319,7.8,0.28,0.49,very_low,,27,142,17.50865038,0.9936,3.09,medium,low,low,Lemon_Juice
1320,8.4,0.35,0.71,very_high,0.046,22,160,19.65439125,0.9982,2.98,medium,low,low,Lemon_Juice
1321,6.9,0.16,0.3,very_high,0.057,50,185,15.01591683,0.9978,3.39,low,low,high,Lemon_Juice
1322,6.4,0.55,0.26,very_high,0.027,20,104,14.00280624,0.9924,3.22,medium,high,high,Lemon_Juice
1323,5.1,0.11,0.32,very_low,0.028,12,,11.6868361,0.99008,3.57,medium,high,high,Lemon_Juice
1324,6.9,0.28,0.41,very_low,0.05,10,136,16.15390043,0.993,3.16,medium,medium,high,Lemon_Juice
1325,5.9,,0.29,medium,0.046,34,116,13.21335905,0.99224,3.24,,medium,high,Lemon_Juice
1326,6.9,0.4,0.22,medium,,76,303,15.54392635,0.99705,3.4,medium,low,low,Lemon_Juice
1327,7.3,0.32,0.35,very_low,0.05,8,,16.46186674,0.99244,3.24,low,low,low,Lemon_Juice
1328,5,0.27,0.32,medium,0.032,58,178,11.47153332,0.98956,3.45,low,high,high,Lemon_Juice
1329,6.3,0.29,0.28,medium,0.059,28,81,14.39850242,0.99036,3.24,medium,high,high,Lemon_Juice
1330,7.9,0.14,0.45,very_low,0.05,17,114,17.96337367,0.9948,3.33,low,low,high,Lemon_Juice
1331,6.8,0.22,0.3,,0.07,67,194,15.07528856,0.99654,2.89,low,very_low,high,Lemon_Juice
1332,6.8,0.24,,medium,0.038,31,99,14.71755306,0.9921,3.24,low,medium,,Lemon_Juice
1333,6.6,0.24,0.27,very_low,0.057,33,152,14.77107132,0.9934,3.22,,low,high,Lemon_Juice
1334,,0.35,0.29,low,0.041,22,79,13.68943205,0.99005,3.1,medium,medium,high,Lemon_Juice
1335,6.8,0.12,0.3,very_high,0.049,32,88,14.43459317,0.99654,3.2,low,low,high,Lemon_Juice
1336,6.4,0.28,0.19,medium,0.042,,181,14.1437283,0.99435,3.31,low,low,high,Lemon_Juice
1337,7.3,,,very_high,0.057,45,149,15.91522784,0.9999,3.21,low,,low,Lemon_Juice
1338,9.4,,0.3,,0.045,36,139,20.27809284,0.99534,3.11,low,very_low,low,Lemon_Juice
1339,7.8,0.34,0.35,very_low,0.042,8,167,17.73660698,0.9908,3.11,low,medium,high,Lemon_Juice
1340,8,0.67,,very_low,0.06,38,62,17.83504269,0.9958,3.26,medium,low,high,Orange_Juice
1341,8.9,0.21,0.34,high,0.037,33,150,19.07236919,0.9962,3.1,low,low,high,Lemon_Juice
1342,7.8,0.27,0.33,low,0.053,36,175,16.61768424,0.992,3.2,medium,medium,high,Lemon_Juice
1343,6.3,0.23,0.31,very_low,0.022,11,82,14.05349766,0.9892,3.3,low,high,high,Lemon_Juice
1344,12.9,0.5,0.55,low,0.072,7,24,28.71544061,1.00012,3.09,medium,medium,high,Orange_Juice
1345,8.5,0.23,0.4,very_high,0.036,24,88,18.96310443,0.9951,3.02,low,low,high,Lemon_Juice
1346,7.3,0.145,0.33,very_low,0.042,14,64,15.87775149,0.99012,3.1,low,medium,high,Lemon_Juice
1347,6.3,0.13,0.42,very_low,0.043,63,146,14.40044308,0.99066,3.13,medium,medium,high,Lemon_Juice
1348,6.3,0.34,0.29,high,0.046,29,227,13.74932995,0.9952,3.29,medium,low,high,Lemon_Juice
1349,3.8,0.31,0.02,very_high,0.036,20,114,7.9891557,0.99248,3.75,low,high,high,Lemon_Juice
1350,,0.23,0.28,very_high,0.025,26,121,12.51096259,0.9925,3.28,low,medium,high,Lemon_Juice
1351,6.6,0.39,0.38,very_high,0.053,49,226,15.33568891,0.99787,3.3,medium,low,high,Lemon_Juice
1352,5.9,0.645,0.12,very_low,0.075,32,44,12.97340257,0.99547,3.57,medium,,low,Orange_Juice
1353,12.3,0.39,0.63,low,0.091,6,18,27.78448148,1.0004,3.16,low,low,low,Orange_Juice
1354,6.3,0.3,0.91,very_high,0.034,50,199,,0.99394,3.39,,medium,high,Lemon_Juice
1355,6.9,0.31,,very_low,0.024,20,166,15.20260782,0.99208,3.05,medium,,high,Lemon_Juice
1356,7.6,0.48,0.31,very_high,0.046,6,194,,0.99714,3.07,medium,low,low,Lemon_Juice
1357,7.9,0.46,0.32,medium,0.033,40,138,17.66804978,0.9912,3.18,low,high,high,Lemon_Juice
1358,8.1,0.725,0.22,low,0.072,11,41,17.71540397,0.9967,3.36,medium,very_low,low,Orange_Juice
1359,4.8,0.17,0.28,low,0.03,22,111,11.28366749,0.9902,3.38,,medium,high,Lemon_Juice
1360,5.7,0.25,0.27,very_high,0.04,24,120,13.05314437,0.99411,3.33,low,medium,high,Lemon_Juice
1361,7.1,0.56,,very_low,0.078,7,18,15.59965991,0.99592,3.27,medium,very_low,low,Orange_Juice
1362,8.2,0.31,0.43,high,0.047,18,87,18.28850283,0.99628,3.23,medium,low,low,Lemon_Juice
1363,6.6,0.23,0.2,very_high,0.044,45,131,14.43600041,0.99604,2.96,medium,low,,Lemon_Juice
1364,5.8,0.415,0.13,very_low,,11,64,12.42403786,0.9922,,medium,low,low,Lemon_Juice
1365,6.8,0.27,0.3,very_high,0.047,69,160,14.99872733,0.99705,3.16,low,low,high,Lemon_Juice
1366,10.6,1.025,0.43,low,0.08,21,84,24.13752423,0.9985,3.06,medium,low,low,Orange_Juice
1367,6.6,0.29,0.29,very_low,0.036,38,102,14.94498026,0.98819,3.08,low,very_high,high,Lemon_Juice
1368,6.2,0.22,0.2,very_high,0.035,58,184,,1.00022,3.11,medium,very_low,high,Lemon_Juice
1369,7.4,0.55,0.22,low,0.106,12,,16.83119269,0.9959,3.05,medium,very_low,low,Orange_Juice
1370,5.1,0.29,,very_high,0.026,27,107,11.46637962,0.99308,3.36,,medium,high,Lemon_Juice
1371,6.1,0.27,0.25,,0.041,9,109,12.91962853,0.9929,3.08,medium,very_low,low,Lemon_Juice
1372,6.7,0.67,0.02,very_low,0.061,26,42,14.37201879,0.99489,,medium,medium,high,Orange_Juice
1373,8.5,0.26,0.21,very_high,0.074,41,197,18.91431819,0.998,3.02,low,low,low,Lemon_Juice
1374,7.8,0.28,0.22,very_low,0.056,24,130,17.01085451,0.9944,3.28,low,,low,Lemon_Juice
1375,7.1,0.2,0.27,very_high,0.037,19,105,14.93218239,0.99444,3.04,low,low,high,Lemon_Juice
1376,6.6,0.26,0.22,very_high,0.05,23,139,14.17637504,0.99904,3.06,low,very_low,low,Lemon_Juice
1377,7.3,0.41,0.29,very_low,0.032,26,74,16.13273174,,2.96,low,high,high,Lemon_Juice
1378,6.9,0.28,0.33,very_low,0.039,16,98,16.02428433,0.9904,3.07,low,medium,high,Lemon_Juice
1379,6.4,0.26,0.21,high,0.04,35,162,13.33099988,0.9956,3.39,medium,low,high,Lemon_Juice
1380,7,0.45,0.34,very_high,0.04,12,67,15.07394227,0.9976,3.07,low,medium,high,Lemon_Juice
1381,7.2,0.695,0.13,very_low,0.076,12,20,15.86662114,0.99546,3.29,medium,low,low,Orange_Juice
1382,6.2,,0.32,very_high,0.031,64,,14.11781405,0.99835,3.31,medium,low,low,Lemon_Juice
1383,10.9,0.32,,very_low,0.132,17,44,24.31431337,0.99734,3.28,medium,medium,high,Orange_Juice
1384,6.6,0.34,0.25,medium,0.038,16,121,14.35545472,0.99198,3.36,medium,high,high,Lemon_Juice
1385,7.2,0.19,0.31,very_low,0.062,31,173,15.56017061,0.9917,,low,medium,high,Lemon_Juice
1386,7.3,0.25,0.26,high,0.048,52,207,15.9172637,0.99587,3.12,low,very_low,low,Lemon_Juice
1387,7,0.21,0.42,medium,0.037,36,123,15.55921564,0.99321,3.14,medium,medium,high,Lemon_Juice
1388,10.4,0.43,0.5,low,0.068,13,19,22.80167327,0.996,3.1,medium,medium,high,Orange_Juice
1389,9,0.46,0.31,low,0.093,19,98,19.84825985,0.99815,3.32,,low,,Orange_Juice
1390,11.1,,0.47,low,0.085,9,34,24.62929139,0.99736,3.24,medium,medium,high,Orange_Juice
1391,6.8,0.44,0.2,very_high,0.065,61,186,14.98606755,0.99884,3.13,low,very_low,low,Lemon_Juice
1392,9.3,0.5,0.36,very_low,0.084,6,17,20.96561457,0.99704,3.27,medium,,high,Orange_Juice
1393,7.2,0.23,0.32,very_high,0.058,47,186,16.00671886,0.9956,3.19,low,low,high,Lemon_Juice
1394,6.1,,0.45,very_high,0.094,49,169,,0.99699,3.05,medium,very_low,low,Lemon_Juice
1395,6.3,0.55,0.45,very_high,0.047,33,182,14.13370492,0.9974,3.2,low,very_low,high,Lemon_Juice
1396,9.9,0.74,0.19,medium,0.111,,76,21.52658621,0.99878,3.14,medium,low,low,Orange_Juice
1397,6.4,0.25,0.41,very_high,,57,173,14.95757164,0.9965,3,low,very_low,low,Lemon_Juice
1398,9.2,0.59,0.24,low,0.101,20,47,19.96664407,0.9988,3.26,medium,low,low,Orange_Juice
1399,7.7,0.32,0.62,very_high,0.036,56,153,18.01816405,0.9978,3.13,low,very_low,high,Lemon_Juice
1400,7.3,0.67,0.05,low,0.107,6,20,15.26291815,0.9972,3.4,medium,low,low,
1401,6.5,0.48,,very_low,0.043,32,99,14.07555979,0.99226,3.14,low,low,low,Lemon_Juice
1402,8.3,0.36,0.57,very_high,0.052,35,256,19.13360719,1.0001,2.93,medium,very_low,low,Lemon_Juice
1403,10.6,0.31,0.49,low,0.063,18,40,23.49008289,0.9976,3.14,medium,low,high,Orange_Juice
1404,6.8,0.23,0.48,very_low,,35,165,15.73877655,0.99162,3.18,low,medium,high,Lemon_Juice
1405,7.5,0.33,0.36,low,0.051,26,126,16.79404379,0.99097,3.32,medium,high,high,Lemon_Juice
1406,6.7,0.41,0.24,medium,0.035,33,115,14.9787703,0.9901,3.12,low,high,high,Lemon_Juice
1407,5.9,0.26,0.4,very_low,0.047,12,139,13.86605073,0.9945,3.45,medium,low,low,Lemon_Juice
1408,7.4,0.19,0.49,high,0.037,15,110,17.07517064,0.9938,3.2,low,medium,high,Lemon_Juice
1409,8.2,0.37,0.64,,0.043,22,171,19.47246629,0.99873,2.99,medium,very_low,low,Lemon_Juice
1410,6.3,0.33,0.2,very_high,0.066,36,161,13.97528302,0.9991,3.14,medium,very_low,low,Lemon_Juice
1411,6.3,0.37,,high,0.034,45,152,14.29866059,0.9921,3.29,low,medium,high,Lemon_Juice
1412,9.4,0.34,0.37,low,0.075,5,13,20.42255533,0.998,3.22,,very_low,low,Orange_Juice
1413,6.3,0.3,0.91,very_high,0.034,50,199,16.18608686,0.99394,3.39,low,,high,Lemon_Juice
1414,7.7,,0.36,medium,0.054,25,148,16.67294127,,3.25,medium,low,high,Lemon_Juice
1415,7,0.23,0.4,very_low,,21,67,15.86673612,0.9952,3.5,medium,medium,low,Orange_Juice
1416,8.5,0.24,0.39,very_high,0.044,20,142,18.5906269,0.9974,3.2,medium,low,high,Lemon_Juice
1417,6.7,0.19,0.39,very_low,0.032,,71,15.17220571,0.98912,3.31,low,high,high,Lemon_Juice
1418,6.3,0.26,0.42,high,0.045,62,209,14.10590416,,3.2,,low,high,Lemon_Juice
1419,,0.2,0.24,very_high,0.047,44,112,12.48394831,0.99837,2.97,medium,very_low,high,Lemon_Juice
1420,7.2,0.32,0.36,very_low,0.033,37,114,16.49225423,0.9906,3.1,medium,high,,Lemon_Juice
1421,5.2,0.24,0.45,low,0.027,21,128,,0.992,3.55,low,medium,high,Lemon_Juice
1422,7.3,0.19,0.27,very_high,0.057,45,155,15.91300399,0.99807,2.94,low,very_low,high,Lemon_Juice
1423,7.1,0.32,0.32,very_high,0.038,16,66,15.2830318,0.9937,3.24,low,medium,low,Lemon_Juice
1424,6.3,0.28,0.22,very_high,0.04,30,111,13.16080141,0.99338,3.05,low,medium,low,Lemon_Juice
1425,,0.2,0.4,very_low,0.028,32,138,13.38461048,0.9914,3.26,medium,medium,low,
1426,6,0.23,0.15,very_high,0.048,101,207,12.3882439,0.99571,3.05,,very_low,,Lemon_Juice
1427,5.8,0.28,0.28,medium,0.044,52,158,,0.992,3.35,,low,high,Lemon_Juice
1428,8.3,,0.27,low,0.03,22,162,17.84956585,0.9914,2.99,medium,,high,Lemon_Juice
1429,7,0.21,0.28,high,0.07,45,185,15.25493054,0.9966,3.34,medium,low,low,Lemon_Juice
1430,6.6,,0.09,medium,0.117,9,17,,0.99655,3.35,low,medium,high,Orange_Juice
1431,7.3,0.29,0.37,very_high,0.044,45,227,16.11902905,0.9966,3.12,low,very_low,low,Lemon_Juice
1432,8.1,0.575,0.22,low,0.077,12,65,17.54598131,0.9967,3.29,,very_low,low,Orange_Juice
1433,6.6,0.25,0.32,,0.039,15,68,15.30356301,0.99163,2.96,medium,medium,high,Lemon_Juice
1434,6.8,0.18,0.28,very_high,0.039,29,113,14.65296312,0.99406,3.11,low,medium,high,Lemon_Juice
1435,,0.27,0.42,low,0.044,29,110,17.17861425,0.9912,3.31,medium,high,high,Lemon_Juice
1436,7.5,,0.38,very_low,0.023,42,104,16.63457561,0.99112,3.28,medium,medium,high,Lemon_Juice
1437,6,0.24,0.28,low,0.038,61,134,13.94984909,0.99146,3.3,medium,medium,high,Lemon_Juice
1438,7.6,0.4,0.29,very_low,0.078,29,66,16.48398128,0.9971,3.45,medium,low,high,Orange_Juice
1439,8,0.77,0.32,low,0.079,16,74,18.37710365,0.99656,3.27,low,low,high,Orange_Juice
1440,7.8,0.54,0.26,very_low,0.088,23,48,17.56223186,0.9981,,medium,very_low,high,Orange_Juice
1441,7.2,0.31,0.35,high,0.046,45,178,16.39354683,0.9955,3.14,medium,low,low,Lemon_Juice
1442,5.9,0.27,0.32,very_low,0.034,31,102,13.27547954,0.98952,3.16,medium,high,high,Lemon_Juice
1443,8.3,0.49,0.36,very_low,0.222,6,16,17.91239942,0.998,3.18,medium,low,high,Orange_Juice
1444,6.6,,0.26,,0.029,32,110,15.08968103,0.99302,3.27,medium,,high,Lemon_Juice
1445,6.7,0.3,0.29,low,0.025,37,107,14.5132384,0.99159,3.31,medium,medium,,Lemon_Juice
1446,8.1,0.29,0.49,high,0.042,22,124,18.15268758,0.9944,3.14,low,medium,high,Lemon_Juice
1447,6.1,0.43,0.35,very_high,0.059,83,249,13.92003111,0.9971,3.37,low,very_low,low,Lemon_Juice
1448,,0.98,0.32,low,0.078,35,152,21.87635186,0.998,3.25,low,low,low,Orange_Juice
1449,7.5,0.32,0.24,medium,0.053,8,134,16.10452122,0.9958,3.14,low,very_low,low,Lemon_Juice
1450,6.9,0.32,0.26,very_high,0.053,32,180,15.78350133,0.9965,3.25,medium,very_low,high,Lemon_Juice
1451,7.4,0.28,0.25,very_high,0.053,25,148,16.54458981,0.9976,3.1,medium,very_low,low,Lemon_Juice
1452,6.4,0.28,0.41,,0.045,61,,14.13058475,0.9952,3.09,low,low,low,Lemon_Juice
1453,6.2,0.37,0.22,very_high,0.025,36,216,13.93973996,0.9964,3.33,medium,low,high,Lemon_Juice
1454,7.8,0.52,0.25,very_low,0.081,14,38,17.22966194,0.9984,,medium,,high,Orange_Juice
1455,6.4,0.32,0.26,high,0.05,53,180,14.49735149,0.99514,3.14,low,low,low,Lemon_Juice
1456,7.7,,0.29,high,0.041,29,163,16.9014933,0.9952,3.44,medium,low,high,Lemon_Juice
1457,7.5,0.34,0.35,medium,0.034,12,126,16.62695357,0.9924,3.16,low,medium,high,Lemon_Juice
1458,8.6,0.42,0.39,very_low,0.068,6,12,20.07010058,0.99516,3.35,medium,,high,Orange_Juice
1459,12.5,0.46,0.63,very_low,,6,15,27.75863048,0.9988,2.99,medium,,low,Orange_Juice
1460,8.8,0.3,0.38,low,0.06,19,72,20.03879177,0.99543,3.39,medium,medium,high,Orange_Juice
1461,6.6,0.18,0.35,very_low,0.049,49,141,15.07148534,0.9934,3.43,medium,low,high,Lemon_Juice
1462,6.6,0.62,0.2,very_high,0.046,81,224,14.60222285,0.99605,3.17,low,very_low,low,Lemon_Juice
1463,6.5,0.18,0.41,very_high,0.039,47,129,14.79819105,0.99678,3.28,medium,low,high,Lemon_Juice
1464,7.5,0.42,0.32,low,0.067,7,25,16.7602667,0.99628,3.24,low,low,low,Orange_Juice
1465,7.9,0.34,0.36,very_low,0.065,5,10,,0.99419,,medium,medium,high,Orange_Juice
1466,5.9,0.2,0.23,,0.037,38,93,12.82117184,0.99021,,low,medium,high,Lemon_Juice
1467,10.3,0.41,0.42,low,0.213,6,14,22.90901642,0.9994,3.19,medium,low,high,Orange_Juice
1468,6.2,0.3,0.2,high,0.045,42,170,13.58291564,0.9944,3.36,low,,high,Lemon_Juice
1469,6.3,0.15,0.34,very_high,,25,,14.35866272,0.99754,3.21,low,low,high,Lemon_Juice
1470,6.2,0.3,0.31,very_low,0.035,40,,13.92936304,0.98914,,low,high,high,Lemon_Juice
1471,5.2,0.34,0,very_low,0.05,27,63,10.98164806,0.9916,3.68,medium,very_high,high,Orange_Juice
1472,7.4,0.3,0.22,medium,0.053,33,180,15.89416009,,3.13,low,medium,high,Lemon_Juice
1473,10.4,0.38,0.46,low,0.104,6,10,23.16184802,0.99664,3.12,medium,,high,Orange_Juice
1474,7.7,0.965,0.1,low,0.112,11,22,16.58139795,0.9963,3.26,low,low,low,Orange_Juice
1475,8,0.6,0.22,low,0.08,25,105,17.37925753,0.99613,3.3,low,low,low,Orange_Juice
1476,7.4,0.26,0.32,low,0.032,29,193,16.62920709,0.99134,3.1,,high,high,Lemon_Juice
1477,7.7,0.96,0.2,very_low,0.047,15,60,17.20934905,0.9955,3.36,low,medium,low,Orange_Juice
1478,7,0.2,0.4,very_low,0.058,30,93,15.58376218,0.99322,3.03,low,very_low,high,Lemon_Juice
1479,7.2,0.6,0.04,low,0.076,18,88,15.38863985,0.99745,3.53,medium,low,low,Orange_Juice
1480,,,0.17,,0.046,28,117,16.65963268,0.99288,3.08,low,low,low,Lemon_Juice
1481,7,0.33,,,0.053,,138,15.68106417,,3.13,low,medium,high,Lemon_Juice
1482,6.5,0.41,0.64,very_high,,65,225,15.47503141,0.9978,3.12,medium,very_low,low,Lemon_Juice
1483,7.2,0.37,0.15,very_low,0.029,27,87,15.57546014,0.9903,3.3,medium,high,high,Lemon_Juice
1484,7.5,0.31,0.51,very_high,0.039,62,204,17.18495202,0.9982,3.06,medium,low,low,Lemon_Juice
1485,5.2,0.25,,very_low,0.047,20,77,11.49068908,0.99001,3.32,medium,medium,low,Lemon_Juice
1486,4.8,0.65,0.12,very_low,0.013,4,10,10.66941113,0.99246,3.32,low,high,low,Lemon_Juice
1487,6.8,0.18,0.35,medium,0.054,53,143,15.24306124,0.99287,3.1,medium,medium,high,Lemon_Juice
1488,8.1,0.34,0.28,high,0.04,,230,17.74385672,0.99558,3.14,medium,low,high,Lemon_Juice
1489,6.8,0.31,0.3,high,0.028,33,122,15.18738065,0.99164,3.13,medium,high,high,Lemon_Juice
1490,6.8,,0.26,high,0.147,49,159,15.53627654,0.99434,3.14,low,low,low,Lemon_Juice
1491,6.7,0.26,,medium,0.073,36,202,14.08021091,0.9956,3.3,medium,low,low,Lemon_Juice
1492,6.5,0.33,0.24,very_high,0.048,20,96,14.78548759,0.99456,3.06,low,medium,high,Lemon_Juice
1493,6.8,0.18,0.32,high,0.047,17,109,14.82944923,0.99498,3.42,low,low,high,Lemon_Juice
1494,6.7,0.28,0.31,high,0.041,7,81,14.92270017,0.99254,3.04,low,medium,,Lemon_Juice
1495,7.9,0.17,0.32,very_low,0.053,47,150,17.72688256,0.9948,3.29,medium,low,high,Lemon_Juice
1496,6,0.27,0.4,very_low,0.021,18,82,13.9684989,0.9891,3.24,medium,high,high,Lemon_Juice
1497,6.7,0.41,0.34,very_high,0.049,29,150,15.4949867,0.9968,3.22,medium,very_low,low,Lemon_Juice
1498,8.9,0.595,0.41,high,0.086,30,109,20.06219484,0.9998,3.27,medium,very_low,low,Orange_Juice
1499,8.9,0.27,0.34,very_high,0.029,19.5,166,19.67988216,0.99669,3.13,low,low,low,Lemon_Juice
1500,,0.45,0.63,low,0.073,7,23,25.95601676,,3.21,medium,medium,high,Orange_Juice
1501,5.6,0.39,0.24,medium,0.034,27,77,12.66569419,0.9906,3.28,low,high,low,Lemon_Juice
1502,6.1,0.41,0.14,very_high,0.037,18,119,13.30869858,0.996,3.38,,low,low,Lemon_Juice
1503,7,0.16,,very_high,0.044,27,149,15.44087407,0.998,2.91,low,very_low,high,Lemon_Juice
1504,7.3,,0.36,medium,,12,,16.19714328,0.9978,3.33,medium,low,low,Orange_Juice
1505,6.2,0.33,0.27,medium,0.036,30,134,13.78835095,0.9927,3.2,low,low,high,
1506,7,0.745,0.12,very_low,0.114,15,64,15.50304682,0.99588,3.22,medium,low,high,Orange_Juice
1507,6.4,0.17,0.34,very_low,0.093,43,136,14.52424823,0.9938,3.25,low,low,high,Lemon_Juice
1508,6.5,0.22,0.28,low,,29,151,14.98837039,,3.23,low,medium,high,Lemon_Juice
1509,7.7,0.28,0.35,very_high,0.056,31,117,16.99418971,0.9998,3.27,low,low,low,Lemon_Juice
1510,7.2,0.32,0.24,medium,0.033,23,120,16.08579271,0.99334,2.92,medium,low,high,Lemon_Juice
1511,9.2,,,very_low,0.042,,61,19.59885858,0.9924,2.96,low,low,low,Lemon_Juice
1512,6.5,0.43,0.18,very_high,0.032,25,131,14.12576025,0.99565,3.23,medium,low,low,Lemon_Juice
1513,8.6,0.47,0.27,low,0.055,14,28,18.58053941,0.99516,,medium,medium,low,Orange_Juice
1514,6.3,0.31,0.3,very_high,0.046,49,212,14.1799979,0.9962,3.74,medium,medium,high,Lemon_Juice
1515,6.5,0.26,0.39,very_low,0.02,12,66,15.11097791,0.99089,,medium,medium,high,Lemon_Juice
1516,7.3,0.365,0.49,low,0.088,39,106,16.91484179,0.9966,3.36,medium,medium,,Orange_Juice
1517,9.1,0.37,0.32,low,0.064,4,15,19.34566626,0.99576,3.3,medium,medium,high,Orange_Juice
1518,6.5,0.22,0.27,very_low,0.039,36,116,14.28494352,,3.38,,medium,high,Lemon_Juice
1519,6.8,0.3,0.35,low,0.038,10,164,14.60242089,0.9912,3.09,medium,medium,high,Lemon_Juice
1520,6.4,0.3,0.3,low,0.038,8,210,14.09791506,0.9937,3.2,medium,low,high,Lemon_Juice
1521,6.6,,0.32,very_low,0.039,25,78,15.16952101,0.9926,3.39,medium,low,high,Lemon_Juice
1522,6.5,0.36,0.31,very_high,0.053,20,113,14.55941767,0.99544,3.2,medium,medium,high,Lemon_Juice
